Canton,WeekNumber,Start_date,End_date,Restaurant_shap,Bar_shap,Nightclubs_shap,Retail_shap,BarbersSalonSpa_shap,EntertainmentTheaters_shap,Schools_shap,MaskInShop_shap,TravelRestrictions_shap,TourismPotential_shap,Max,Min,AbsMax
TI,26,June22_2020,June28_2020,0.0611399362,0.0022019018,0.16522345,0.0126321636,0.0045165372,0.0286328756,0.0011337587,0.0109517492,0.1792202986,-0.0005051564,TravelRestrictions,TourismPotential,TravelRestrictions
TI,27,June29_2020,July5_2020,0.0611399362,0.0022019018,0.16522345,0.0126321636,0.0045165372,0.0286328756,0.0011337587,0.0109517492,0.1792202986,-0.0005051564,TravelRestrictions,TourismPotential,TravelRestrictions
TI,28,July6_2020,July12_2020,0.0569697002,0.0029624686,0.161220626,0.0128127356,0.0045693046,0.0282276596,0.0011428768,-0.0124464634,0.1762126184,-0.0017585456,TravelRestrictions,MaskInShop,TravelRestrictions
TI,29,July13_2020,July19_2020,0.0569697002,0.0029624686,0.161220626,0.0128127356,0.0045693046,0.0282276596,0.0011428768,-0.0124464634,0.1762126184,-0.0017585456,TravelRestrictions,MaskInShop,TravelRestrictions
TI,30,July20_2020,July26_2020,0.0569697002,0.0029624686,0.161220626,0.0128127356,0.0045693046,0.0282276596,0.0011428768,-0.0124464634,0.1762126184,-0.0017585456,TravelRestrictions,MaskInShop,TravelRestrictions
TI,31,July27_2020,August2_2020,0.0569697002,0.0029624686,0.161220626,0.0128127356,0.0045693046,0.0282276596,0.0011428768,-0.0124464634,0.1762126184,-0.0017585456,TravelRestrictions,MaskInShop,TravelRestrictions
TI,32,August3_2020,August9_2020,0.0569697002,0.0029624686,0.161220626,0.0128127356,0.0045693046,0.0282276596,0.0011428768,-0.0124464634,0.1762126184,-0.0017585456,TravelRestrictions,MaskInShop,TravelRestrictions
TI,33,August10_2020,August16_2020,0.0569697002,0.0029624686,0.161220626,0.0128127356,0.0045693046,0.0282276596,0.0011428768,-0.0124464634,0.1762126184,-0.0017585456,TravelRestrictions,MaskInShop,TravelRestrictions
TI,34,August17_2020,August23_2020,0.0569697002,0.0029624686,0.161220626,0.0128127356,0.0045693046,0.0282276596,0.0011428768,-0.0124464634,0.1762126184,-0.0017585456,TravelRestrictions,MaskInShop,TravelRestrictions
TI,35,August24_2020,August30_2020,0.0569697002,0.0029624686,0.161220626,0.0128127356,0.0045693046,0.0282276596,0.0011428768,-0.0124464634,0.1762126184,-0.0017585456,TravelRestrictions,MaskInShop,TravelRestrictions
TI,36,August31_2020,September6_2020,0.0559124477,0.0030881312,0.1603793324,0.0128127356,0.0045693046,0.0282276596,-0.0017639641,-0.0124875632,0.174781502,-0.0029298822,TravelRestrictions,MaskInShop,TravelRestrictions
UR,11,March9_2020,March15_2020,0.6846959042,0.438415313,0.168170597,0.0153019384,0.0073747324,0.027975367,0.0102368113,0.0076163444,0.0143310748,0.0182455364,Restaurant,BarbersSalonSpa,Restaurant
